Instrument,ESG_Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score
DHLn.DE,72.9360202906016,73.2181526284349,71.2551724214961,75.0805152979066
PERP.PA,66.5527420615066,79.2540267540267,62.4602815988672,58.8367805034472
NDAFI.HE,76.7975180594038,83.525554816629,67.9744741287583,91.0057222125889
AIRP.PA,84.4129589852048,69.5664186543536,92.7424552721277,96.5279781946449
IBE.MC,80.7859951573415,84.6215751988069,91.5811315073557,60.2318318318318
SIEGn.DE,84.1996230561875,90.2527162107985,80.088296652274,82.32631700023
SAN.MC,86.9499867982262,96.4869783493096,94.1110365876401,73.8318318318318
VOWG_p.DE,84.0403508469778,93.5333233952038,89.453528907258,61.5177133655395
SAPG.DE,88.791164437003,76.9734369633135,91.0847684053943,90.4235321420283
CRDI.MI,79.9360264339636,93.1459902658935,67.8304639870883,91.8937927474513
AD.AS,72.006615525357,58.364795772093,72.4552221244378,82.2047930283224
BNPP.PA,92.6717376785304,94.7267996005509,92.5615355190094,92.5645239156269
DTEGn.DE,79.3656051088272,83.3359035095269,89.3772442671419,56.2428111341155
SASY.PA,86.5226651996725,93.2761106910399,89.0804577484597,77.2921308674985
ESLX.PA,67.5489888665784,71.3972279733149,78.0159462415371,51.8474264705883
ASML.AS,74.5373450825097,64.5185126656366,80.0645310441994,77.4400871459695
DB1Gn.DE,71.3770511207038,77.1526297397541,72.1102604143651,72.5080515297907
ADYEN.AS,68.4433043349345,44.7154471544715,65.7313931686639,75.4488017429194
STLAM.MI,85.6349513066657,96.1368066631225,90.8274535710849,62.0762527233115
IFXGn.DE,77.3625323204037,77.0517277707543,80.1500637910224,73.1360708534622
NOKIA.HE,83.7328094917645,70.2333340886432,82.7063945793033,92.3975225225225
BBVA.MC,92.303041050877,97.3616887101173,90.9171912599207,92.751951951952
ALVG.DE,88.2939547809028,94.32370871575,87.9244087006184,87.4712445364619
SAF.PA,70.593556169891,68.1511549295434,81.545944766006,57.5380792047459
OREP.PA,83.823394013747,77.9777748744302,88.0904334748949,81.3719919786096
SGEF.PA,85.1065449262036,94.5227016053261,75.8794262525981,84.6368446368446
HRMS.PA,57.4629178364485,71.2957383589253,63.6304857489068,37.2921308674985
BMWG.DE,90.8452385533231,93.37935445713,93.0898916719707,83.469095691189
TTEF.PA,84.1154343627029,89.1782935551497,86.3640751915948,72.6798314022579
ENI.MI,86.2976558508107,81.2923187226025,91.6456624922937,84.1015384615385
WLSNc.AS,66.8295097042509,61.2951785170825,64.4503410719211,73.8341700533907
PRTP.PA,76.3817753273101,96.4887015609847,85.6080885359869,56.0768530897207
BAYGn.DE,92.7919448247305,85.4842887506937,97.5294099625349,91.0710141564168
BASFn.DE,90.377459824581,92.6078725481395,94.114978772519,80.1040457956216
ENEI.MI,87.370510145413,91.9732817926973,91.994967035695,73.5340043876629
PRX.AS,66.582794282812,75.4333133660955,53.3763228268587,75.3228715728716
AIR.PA,83.7323698979664,96.7838105229043,84.0421692462899,73.9281045751634
SCHN.PA,82.9178249401803,70.3565979888545,93.816904440774,83.7504642008319
MUVGn.DE,83.4718897788451,93.9385007034233,84.2537737799834,79.8268921095008
DANO.PA,92.9011112117125,94.2457589964921,97.2122663522284,83.9732806001189
RACE.MI,57.7353441735146,68.5621846144627,60.5605968110547,37.4836601307189
LVMH.PA,80.6206568460756,92.512518960251,90.155431747537,55.4498106060606
MBGn.DE,91.2722312861566,97.8436135211302,88.5949862440165,86.6384863123993
AXAF.PA,79.5833067225948,75.0948016457873,74.9978213990311,93.5302473262032
INGA.AS,75.8039816999695,92.8117055110917,68.7417992766889,82.6790979360905
ITX.MC,76.2831253090453,95.3051094800846,97.3218289940022,43.3957957957958
ISP.MI,92.8368795682359,97.2216274721166,93.6311101441077,90.5516840882695
ADSGn.DE,88.7445021104525,81.9860610430185,93.5345899695117,84.1631855805678
SGOB.PA,88.3355364809022,96.2394734661537,83.9943724946037,84.861575311943
ABI.BR,79.2178794336765,82.9254852939063,73.061229938685,86.0901467505241
